Positive,Negative
"In conclusion, miR-221/222 and -181b facilitate growth factor signaling in tamoxifen-resistant breast cancer by down-regulating TIMP3, and corresponding anti-miRs can be used to render these tumors responsive to tamoxifen.","Here, by using computer-assisted algorithms from PicTar, TargetScan, and miRBase, we identified that the predicted target miRNA of HOXA10 was miR-135a."
UPR-activated XBP1 induces miR-346 expression that targets TAP1.,Hypomethylation of LINE1 and SINE B2 in the thymus tissue from the progeny was associated with a significant decrease in the levels of lymphoid-specific helicase (LSH) that is crucial for the maintenance of methylation and silencing of repetitive elements.
We demonstrated that miR-200bc/429 cluster might play an important role in the development of MDR in human gastric and lung cancer cell lines by targeting the anti-apoptotic genes BCL2 and XIAP.,Cognitive function of mice was assessed using the Morris water maze.
SMAD4 is a target of miR-146a.,AIMS: Angiogenesis is a critical component of many pathological conditions in adult tissues and is essential for embryonic development.
MiR-342-5p suppresses CVB3 biosynthesis by targeting the 2C- coding region,RNA interference-mediated inhibition of MKK7 resulted in marked suppression of liver metastasis of colon cancer cells.
Kallikrein 5 (KLK5) was targeted by miR- 382.,Modulation of PUMA expression by miR-BART5 and anti-miR-BART5 oligonucleotide was demonstrated in EBV-positive cells.
MiR-221 and miR-222 can target the chicken p27Kip1 3'UTR.,"Of these microRNAs, miR-210 and miR-518c were experimentally validated to target HSD17B1 by luciferase assay, real-time PCR, and ELISA."
miR-2861 directly targets histone deacetylase 5.,"In those cells, we demonstrate that the ectopic overexpression of miR-221/222 strongly affects their growth potential by inducing a G(1) to S shift in the cell cycle and is sufficient to induce a powerful enhancement of their colony-forming potential in soft agar."
Fibroblast growth factor receptor 2 (FGFR2) was identified as one of the direct targets for suppression by miR-125b.,"Bioinformatic analyses and luciferase reporter assays revealed that inhibitor of growth family, member 5 (ING5) could be the best target of miR-193 to functionally regulate proliferation and CDK2 activity, and the mRNA and protein level of ING5 was regulated by miR-193."
SLC7A5 is a direct target of miR-126,Down-regulation of miR-204 and over-expression of SOX4 promoted epithelial-mesenchymal transition process.
"miR-133a in HNSCC cell lines (FaDu, HSC3, IMC-3 and SAS) suppressed the MSN expression both in mRNA and protein level.","In addition, the effect of miR-223 on PRDM1 expression was assessed in NK/T lymphoma cell lines by transfecting a miR-223 mimic or inhibitor to increase or decrease the effective expression of miR-223."
miR-126 directly targeted to IRS-1 3' UTR.,"Together, our data demonstrate that miR-181a is an important endogenous regulator in the proliferation and immunosuppressive properties of MSCs."
"ZO-2,PAR-3,andPAR-6(Table2).As shown  in Table 3 these miRNAs are indeed able to bind to their targets by partial comple-mentarity between miRNA and mRNA.","BACKGROUND: Several studies have demonstrated that YWHAZ (14-3-3ζ), included in the 14-3-3 family of proteins, has been implicated in the initiation and progression of cancers."
ANKRD46 is newly identified as a direct target of miR-21 in BC.,"In 97H HCC cells transfected with miR-26b mimics or short-hairpin RNA targeting EphA2 mRNA, expression of EphA2 protein was reduced, which was associated with significantly lower proliferation rate and invasion ability and with higher apoptosis rate in response to low-dose irradiation, compared to control cells."
"These findings all demonstrated that let-7f, a tumour suppressor miRNA in breast cancer, directly targeted the aromatase gene and was restored by AI treatment.","To identify the miRNA signature that was specific for oral squamous cell carcinoma (OSCC), we first examined expression profiles of 148 miRNAs in a panel of 18 OSCC cell lines and the immortalized oral keratinocyte line RT7 as a control."
miR-155 Directly Targets IL13Ra1,"Disulfiram (DSF), a dithiolcarbomate drug shown to have an anticancer effect, induces the level of mature miR-17* and cell death in PCa cells, which can be attenuated by transfection of antisense miR-17*."
IL-12/IL-23p40 is the target gene of miR-10a,Our results show that CPB induces severe lung injury and dynamic changes in miRNA expression in piglet lungs.
miR-103/107 target DAPK and KLF4 in CRC cells.,"Moreover, microRNA-200b synergized with 5-fluorouracil to induce apoptosis in vitro and suppressed tumorigenicity in vivo."
miR-103/107 suppress the expression of DAPK and KLF4 by targeting their 3'-UTRs.,The aim of this study was (a) to determine a role of microRNA-21 in esophageal squamous cell carcinoma and (b) to elucidate the regulation of the programmed cell death 4 (PDCD4) gene by microRNA-21.
"Overexpression of miR-103/107 reduced the activities of DAPK and KLF4-based reporters, whereas antagomiR-103/107 markedly increased the activities of 2 reporters (Fig.2C and D).","Therefore, this study provides the first indication that salivary gland epithelial cells may be critically involved in SjS progression by altering CD86:CD80 protein ratio in response to miR-146a upregulation."
"In line with the results of reporter assays, the expressions of Flag-DAPK and Flag-KLF4 from constructs that lack 3'-UTR sequences were not affected by miR-103/107 (Fig.2E)","However, the molecular mechanism underlying the regulation of chondrogenesis in patients with osteoarthritis requires further elucidation, particularly with respect to the role of microRNAs."
RND3 was a target of miR-17,"Reporter plasmids were constructed, and a luciferase reporter assay was used to identify the miR-143 binding site on COX-2."
Overexpression of miR-103/107 in HCT116 cells reduced the protein levels of DAPK and KLF4 but not PTEN (Fig.2A).,"However, little is known about cellular miRNA deregulation during the development of GaHV-2-associated lymphoma."
miR-30e* directly targets the IKBA 3'-UTR.,Here we examined HIV-1 Nef protein promotion of KSHV oncoprotein K1-induced angiogenesis.
We report in human glioma cell lines that microRNA-30e* (miR-30e*) directly targets the IKBA 3'-UTR and suppresses IKBA expression.,Transplantation of healthy PACs ex vivo-engineered with anti-miR-15a/16 improved postischemic blood flow recovery and muscular arteriole density in immunodeficient mice.
"Point mutations in the tentative miR-30e*-binding seed region in the IKBA 3'-UTR abrogated the aforementioned repressive effect of miR-30e*, demonstrating that IKBA is a bona fide target of miR-30e* (Figure 4, B and E).","The Ten-Eleven-Translocation 2 (TET2) gene, which oxidates 5-methylcytosine in DNA to 5-hydroxylmethylcytosine (5hmC), is a key tumor suppressor frequently mutated in hematopoietic malignancies."
"miR-21 is a putative regulator targeting RhoB  RhoB 3 0 UTR is a target of miR-21,","Pregnane X receptor (PXR) is a major transcription factor regulating the inducible expression of a variety of transporters and drug-metabolizing enzymes, including CYP3A4 (cytochrome P450 3A4)."
"Our data indicated that miR-185 directly interacted with the DNMT1 and the lower levels of miR-185 expression in glioma may be one of the reasons for the abnormal expression of DNMT1, which leads to aberrant DNA methylation, contributing to the development of human glioma.",This process results in an increase of the anti-apoptosis protein Bcl-2 and upregulation of inhibitors of the apoptosis family of proteins (IAPs) as well as chemoresistance in MDA-MB-468 cells.
"In summary, Bcl-2, Mcl-1, and Bim are targets of mouse miR-181.Protein levels of Bcl-2 and Mcl-1 change inversely with changes in miR-181a.","Furthermore, the distinct localization of CLIC4 and miR-142-3p within the HNSCC tumor milieu highlight the limitations of bulk tumor analysis and provide critical considerations for both future mechanistic studies and use of miR-142-3p as a HNSCC biomarker."
"Reduction of miR-181a levels is associated with reduced cell death, reduced oxidative stress, and preserved mitochondrial function in astrocytes.","PURPOSE: To determine the prognostic significance of miR-663 in glioblastoma, its effect in tumor progression, and the underlying mechanism."
"Our results suggest that miR-191 down-regulation plays a role in thyroid neoplasias of the follicular histotype, likely by targeting CDK6.",While the mechanism of chemotherapy resistance is still not fully understood.
"Expression profiling in the embryonic kidney identified several miRNAs (mmu-miR-10a, mmu-miR-17-5p, and mmu-miR-106b) that are expressed in nephron progenitors that are known, or are predicted, to target the Bim transcript.","Subsequently, the stable cell lines with overexpression of microRNA-17 (miR-17) were screened, and luciferase assay combined with the mutation 3'UTR of PKD2 were performed to verify PKD2 is the target of miR-17."
Suv39h1 3  UTR is a true target of miR-125b.,"These results suggest that suppression of miR-26b expression up-regulates its target gene CHORDC1, which increases HBV enhancer/promoter activities and promotes viral transcription, gene expression, and replication."
miR-423 downregulates p21Cip1/Waf1 expression by directly targeting the p21Cip1/Waf1 3' UTR,"However, it remains unknown whether co-expression of tumor suppressor genes and miRNAs can contribute to a more potent antitumor capacity within an oncolytic adenovirus delivery system."
"Here, we verified that miR-148a directly targeted the 3' UTR of ACVR1 mRNA by reporter gene assays and mutational analysis at the miRNA binding sites, and inhibited ACVR1 both at the protein level and mRNA level.",Compressive force might inhibit cell proliferation in osteoblasts by up-regulating miR-494-3p followed by FGFR2 and ROCK1 gene repressions.
miR-29a/b directly target the mRNA encoding for Arpc3,"Furthermore, the miR-125b-induced inhibition of cell proliferation was rescued by the expression of Mcl-1 or IL6R variants that lacked 3' UTRs."
"MIR168a can target mammalian liver-specific LDLRAP1 in vitro and in vivo,",BACKGROUND: miRNAs are a class of small non-coding RNAs that regulate gene expression and have critical functions in various biological processes.
This study demonstrated that miR-125b plays important roles in regulating the proliferation of GSCs by directly targeting E2F2.,A microRNA microarray indicated that miR-24 was downregulated in NPC cell lines and tissues.
MiR-34a on Notch1 and Notch2 receptors throw the direct targeting of Dll1 in the MB Daoy cell line,Allergic inflammation has been known to enhance the metastatic potential of tumor cells.
Zfp521 is targeted by miR-9 in neural differentiation of MSCs,"We used multiple methods to achieve our goal including microarray analysis, qRT-PCR, western blotting analysis, loss/gain-of-function analysis, luciferase assays, drug sensitivity assays, wound-healing assay and invasion assay."
STMN1 is a downstream target of miR-223 in gastric cancer,Energy homeostasis depends on insulin signaling in metazoans.
PPARA is a target of miR-141 in HBV-replication repression,"In vertebrates, loss or inactivation of ASF/SF2 may result in genomic instability and induce G(2) cell cycle arrest and apoptosis."
The miR-29a is proven to be the real candidate to interact with the SMAD4 3'UTR,"These results suggest that miR-383 functions to promote steroidogenesis by targeting RBMS1, at least in part, through inactivation of c-Myc."
(TIMP2) were significantly up- regulated in the miR-34a,MicroRNAs are endogenously transcribed non-coding 22 nucleotide long RNAs that regulate gene expression by decreasing mRNA stability and translation and play key roles in cardiac physiology and pathologies.
miR-26 targeted ABCA1 and ARL7 3 0 UTR in reporter system.,"Polymorphisms in 3' UTR of several genes have been reported to affect gene expression, but the mechanism is not fully understood."
miR-26 suppressed ABCA1 and ARL7 via the binding sites located in their 3 0 UTRs,"The transcriptional repressor zinc-finger E-box binding homeobox 1 (ZEB1) is a crucial inducer of EMT in various human tumours, and was recently shown to promote invasion and metastasis of tumour cells."
"In conclusion, our functional screening uncovers multiple miRNAs that regulate the cellular responsiveness to TGF-β signalling and reveals important roles of miR-199a in gastric cancer by directly targeting Smad4.","BACKGROUND: Diverse functions of microRNAs (miRNAs), including effects on tumorigenesis, proliferation, and differentiation, have been reported, and several miRNAs have also been demonstrated to play an important role in apoptosis."
miR-484 targets the amino acid coding sequence of Fis1.,The miR-31-miR-720 pathway is shown critical to EPC activation and that downregulation of this pathway contributes to CAD pathogenesis.
We found that miR-32 directly regulates the expression of SLC45A3 by binding to the complementary sequence on the 3' UTR of cldn11 and slc45a3.,Alterations in the expression of miRNAs have been implicated in the pathogenesis and development of most human malignancies.
The target of miR-126 in EPCs was Spred-1.,"The transfection of miR-17-5p mimics or siRNA-p21 reversed the effect of bortezomib on HTB-111 and Ishikawa cells, indicating that miR-17-5p may mediate the function of bortezomib by targeting p21 in endometrial cancer cells."
The of miR-126 effecting on EPCs is through Ras/ERK/VEGF and PI3K/Akt/eNOS signal pathway.,"Here, we analyzed the levels of miR-203 and Slug in the GC specimen and studied their correlation."
Translational repression of HNF-6 and OC-2 by miR-495 and miR-218.,"miRNA-133b expression significantly increased (approximately 70-100 times) in mouse kidney tissues after injection of the miRNA-133b overexpression complex, which significantly alleviated renal interstitial fibrosis in mice with UUO."
MiR-495 targets mouse HNF-6 via one target site located in the 3'UTR.,Mechanistic investigations revealed a negative feedback loop wherein miR-218 regulates NPC cell migration via the SLIT-ROBO pathway.
"When cotransfected with synthetic miR-495, a 50% decrease in luciferase activity, relative to control, was observed (Fig.3A).","MicroRNA miR-199a is clustered with miR-214 on chromosome 1 and its expression is up-regulated by various factors that are associated with epithelial-to-mesenchymal transition (EMT), such as a transcriptional repressor Twist1 and transforming growth factor (TGF)-β. miR-199a is either up-regulated or down-regulated in a variety of cancers, although EMT is associated with the progression of cancer."
The luciferase activity was rescued when the miR-495 target site was rendered ineffective by mutating two nucleotides in the seed sequence (Fig.3A).,"BACKGROUND: AKT1, also known as PKBα, is abnormally expressed in various malignancies."
MiR-218 targets mouse OC-2 via target sites located in the 3'UTR.,"Consistent with the POX-mediated tumor suppression pathway, these antagomirs induced ROS, inhibited HIF signaling and increased apoptosis."
" When a construct with wild-type 3'UTR was cotransfected with synthetic miR-218, a decrease in relative luciferase activity was observed, indicating that this 3'UTR region was targeted by miR-218 (Fig.3B).",The transferring and invading capacity of SGC-7901 cells was highly inhibited after being transfected by lncRNA-TUG1 specific siRNA (P < 0.05).
miR-218 exerts a posttranscriptional control on OC-2 via multiple target sites located in the 3'UTR of OC-2.,"Interestingly, a comparison of TGF-β1 and miR-29 targets revealed that miR-29 controls an additional subset of fibrosis-related genes, including laminins and integrins, independent of TGF-β1."
"Mutation of the second site did not modify miR-218-induced repression of luciferase, indicating that this second site is dispensable for miR-218 activity.","Importantly, FGF2 transcriptionally stimulated the expression of miR-149 independently of its host gene, therefore assuring the steady state of FGF2-induced responses through the regulation of the GPC1-FGFR1 binary complex in ECs."
ShpIsaTarget of miR-141,"Enforced miR-143 reduced its target proteins, inhibited SGC7901/DDP cells proliferation, and sensitized SGC7901/DDP cells to DDP-induced apoptosis."
mRNA target identification of miR-125b,We also identified N1ICD complex binding to CBF1 sites within the endogenous human miR-143/145 promoter.
ILK is a direct target gene for miR-625,"Furthermore, the p38 MAPK pathway was proven to be involved in miR-135a-VLDLR downstream signaling."
TIMP3 is a critical target of miR-221 and miR-222,"Here we identify a microRNA family, miR-103/107, that attenuates miRNA biosynthesis by targeting Dicer, a key component of the miRNA processing machinery."
SATB1 and CDK6 expression is downregulated in senescent HEKn cells and their 3 0 UTRs are direct miR-191 targets,"Interestingly, we have found that berberine could inhibit miR-21 expression in several cancer cell lines."
(BMPR2) was a direct target of miR-100.,High-throughput sequencing has opened numerous possibilities for the identification of regulatory RNA-binding events.
PIK3R1 is a direct target of miR-376a.,"Significantly, Luciferase assay showed that the activity of the wild-type BAK1 3'-untranslated region reporter was suppressed and this suppression was diminished when the miR-125b response element was mutated or deleted."
miR-129-3p targets CP110,"The protein expression of ZEB1, Vimentin, E-cadherin, and Snail was investigated by using immunoblotting assays."
"Tnfaip3 3'UTR was directly regulated by both miR-19 and miR-18,","However, whether miRNAs contributes to UBE3C expression in BC cells remains poorly understood."
Notch1 as a direct target of miR-34a,"Among them, miR-30c-1(*) was noticed because overexpression of miR-30c-1(*) triggered upregulation of transmembrane tumor necrosis factor-α expression and enhanced NK cell cytotoxicity against hepatoma cell lines SMMC-7721 and HepG2."
"Validation of Nurr1 as a direct target of miR-132 by bioinformatics, luciferase and western blot assays.","MicroRNAs (miRNAs) have critical roles in the regulation of gene expression; however, as miRNA activity requires base pairing with only 6-8 nucleotides of messenger RNA, predicting target mRNAs is a major challenge."
CD64 is a target of miR-127,"From reported miRNA microarray studies on PDA and predicted miRNA targets, we identified seven aberrantly upregulated miRNAs that potentially target SEL1L."
p21 was a functional target of miR-106b during hypoxia,TGA5 was found as the target gene of miR-31.
RECK is a novel target of miRNA-222,"Here, we report an oncogenic role for microRNA (miR) in driving M2 reprogramming in TIMs, characterized by the acquisition of pro-tumor and pro-angiogenic properties."
Neuronal AChE and the GTPase activator p250GAP are both targets of miR-132,"Furthermore, the carriers of UC and CC genotype presented a big tumor size as well as the high probability of metastasis."
"PTEN is a functional target of miR-494, and the PTEN/Akt pathway is critical for the activation of MDSCs","In the present study, miR-199a-5p was investigated in PAH rat models and in human pulmonary artery smooth muscle cells (HPASMCs) and endothelial cells (HPAECs)."
p21 is a direct target of miR-663,BACKGROUND: Inadequate endometrial receptivity contributes to recurrent implantation failure (RIF) during IVF-embryo transfer.
PDCD4 IS A DIRECT TARGET OF miR-21 AND DIRECTLY PARTICIPATES IN miR-21-MEDIATED PROLIFERATION AND APOPTOSIS IN AFs AND MFs Bio,Epithelial-mesenchymal transition (EMT) of peritoneal mesothelial cells (PMC) is a major contributor to the pathogenesis of peritoneal fibrosis.
Our data indicated that miR-223 could really target FOXO1 mRNA which led to reduction of cytoplasmic FOXO1 protein.,The recombinant expression vector was constructed and transfected into BMSCs to regulate the endogenous expression of MEG3 and miR-133a-3p.
"miR-146a overexpression suppressed cell proliferation, induced apoptosis, and enhanced chemosensitivity by inhibiting NF k B pathway by targeted downregulation of TRAF6, which was consistent with the strong association between low miR-146a expression and frequent chemoresistance in NKTL patients.","Furthermore, an inverse correlation between expression of SIX1 and miR-30b has been observed both in primary CRC specimens and liver metastasis."
VEGFA and PIK3R2 were the putative targets of miR-126.,"Expression of miR-124a was down-regulated in ALL by hypermethylation of the promoter and histone modifications including decreased levels of 3mk4H3 and AcH3 and increased levels of 2mK9H3, 3mK9H3, and 3mK27H3."
"miR-125b and let-7 micro-RNAs are induced, whereas their putative targets, lin-28 and lin-41, are decreased during in vitro differentiation of Tera-2 or embryonic stem cells.","In this study, we show that transfection of synthetic miR-200b reduced protein levels of VEGF, Flt-1, and KDR."
e2f3 was the direct target of miR-210.,BACKGROUND: miR-21 is overexpressed in esophageal squamous cell carcinoma (ESCC) and is thought to be correlated with the development of the cancer.
CCNE1 is a direct target of miR-16-1,"Furthermore, epigenetic inactivation of SLIT occurred in a gastric cancer subtype-dependent manner."
"miR-19 target genes, and include Bim (Bcl2L11), AMP-activated kinase (Prkaa1) and the phosphatases Pten and PP2A (Ppp2r5e).","By using a model of malignant transformation induced by Ras, we identified Wnt4 as an early target of Ras oncogenic signaling."
HIF-1a as a direct target of miR-138.,"Notably, an in vitro CHGA transcription/translation experiment revealed that changes in hsa-miR-107 expression altered expression of the T allele variant only."
"Direct interaction of miR-17, 19, 22, 25 and 302 with PTEN 3'UTR.","After transfecting miR-145-5p mimics, miR-145-5p inhibitors, NRAS cDNA and NRAS siRNA into CHL-1, VMM917 and SK-mel-28 cells, functional assays were used to detect the proliferation, apoptosis, invasion and migration, including MTT, flow cytometry, Transwell and wound healing assays."
PUMA was identified as a target gene of miR-221 and miR-222.,"In contrast, when miR-30a-5p inhibitor were transfected into MCF-7 and MDA-MB-453 cells, cell proliferation and migration were promoted."
SWAP70 as aTargetof Post-Transcriptional Repressionby miR-145,"Meningiomas, one of the most common human brain tumors, are derived from arachnoidal cells associated with brain meninges, are usually benign, and are frequently associated with neurofibromatosis type 2."
"we identified hyaluronic acid synthase 2 (Has2), Icat, and Tmem2 as novel direct targets of miR-23.",Western blotting was used to predicate the target of miR-10b.
TPM1 Is a Direct Target of miR-21,Cell viability was measured using the ATPlite assay.
Ywhaz is a target for miR-451.,This work could provide a new protocol to promote bone regeneration for tissue engineering in the future.
MiR-378 suppresses aromatase by targeting to specific sites within the aromatase 3-UTR,"Chicken miRNA gga-miR-15b, which was reduced in infected susceptible chickens and splenic tumors, controlled the expression of ATF2 (activating transcription factor 2)."
"miR-30a targets Snai1, inhibits invasion and metastasis, and is downregulated in NSCLC.","However, the activation of TLR4 in RSV infection is still unclear."
"The reduced miR-100 expression participates in the development of cervical cancer at least partly through loss of inhibition to target gene PLK1, which probably occurs in a relative late phase of carcinogenesis.","To our knowledge, this is the first microRNA-target mRNA pair that has been reported to regulate mammalian primordial follicle assembly and further our understanding of the regulation of primordial follicle assembly."
HR-HPV E6/E7 may not directly regulate miR-100 expression in cervical cells.,"In three cases the FEA component was negative, whereas the DCIS component was positive for miR-21."
CDK2 and Cyclin A1 Are Direct Targets of miR-372,"Inhibiting miR-506-3p promoted CRC cell proliferation, migration and invasion but inhibited apoptosis."
"the lucifer- ase activity was significantly inhibited by miR-182 co-transfection, mutation either of the two miR-182 bind- ing site, while miR-182 failed to inhibit the expression of luciferase construct with both binding sites mutated,","Importantly, miR-134 and miR-183 share a common predicted mRNA target, encoding the splicing factor SC35."
"TIMP2, FBLN5, and VEGFA are direct targets of miR-200c",This study focused on exploring the effects and regulation mechanism of miRNA-137 on the biological behaviors of gastric cancer.
miR-143 directly regulates HK2 through bin- ding to its 3'UTR,MicroRNAs (miRNAs) are small noncoding RNAs that regulate gene expression posttranscriptionally and are also known to be involved in lymphocyte development and function.
miR-20a represses the p38 pathway activity by targeting MKK3,We identified a cluster of microRNAs in an imprinted locus on human chromosome 14q32 that is highly and specifically expressed in human β cells and dramatically downregulated in islets from T2DM organ donors.
NCAM1 as a Direct Target of MiR-200c,"Recently, microRNA-99 family members, such as miR-99a/b and miR-100, have been reported to exhibit abnormal expression in various malignant tumors, but their functions in carcinomas are controversial."
Regulation of survivin by miR-203,"To examine the different expression of E1A protein, we employed a bioinformatics approach to identify miRNA that target the 3'-untranslated region (3'-UTR) of E1A mRNA and identified miR-214 as a highly promising candidate."
EBV MicroRNAs in Primary Lymphomas and Targeting of CXCL-11 by ebv-mir-BHRF1-3,"And overexpression of miR-27a-3p, but not miR-27a-5p, markedly promoted gastric cancer cell proliferation in vitro as well as tumor growth in vivo."
miR-145 directly targets the coding sequence of estrogen receptor a,hbl-1 loss-of-function causes the precocious expression of adult seam cell fates.
Exogenous miR-150 Reduces c-Myb Protein Level in HMEC-1 Cells,"Here we show that exogenous miR-26a promotes differentiation of myoblasts, while inhibition of miR-26a by antisense oligonucleotides or by Tough-Decoys delays differentiation."
miR-375 Directly Targets the SP1 3'UTR,"The genomes of metazoans encode on the order of several hundred miRNAs, but the processes they regulate have been defined for only two in C. elegans."
"CTGF,RhoG,ITGB1,and ROCK1 are targets of miR-124.","Many human malignant tumors demonstrate a low expression of miR-133b, as noted in colorectal, lung, esophagus and bladder cancers, but the role of miR-133b in bladder cancer is unknown."
The identification of Pparbeta/delta and the peroxisome proliferator-activated receptor alpha (PPARalpha) coactivator Smarcd1/Baf60a as novel miR-122 targets suggests an involvement of the circadian metabolic regulators of the PPAR family in miR-122-mediated metabolic control.,"Then, we found that miR-550a-3-5p suppressed the migration, invasion and EMT of HPV-positive OSCC cells dependent on decreasing M2 macrophages polarization."
PIK3CD Is a Novel Target of miR-7.,"Elevated expression of miR-192 caused cell growth arrest, which is similar to the effect of BMP-6 induction."
miR-198 directly binds to the 3' UTR of c-MET to regulate its expression.,Western blot and flow cytometric quantitation of the membrane E-cadherin levels showed the same trend of change under these treatments.
miR-96 directly targeted the coding region of RAD51 and the  3'-untranslated region of REV1.,"However, at present, the pathological implication of aberrant miRNA expression in neurodegenerative events remains largely unknown."
miR-34c interacted directly and specifically with the 39-UTR of Sipa1.,The microarray results were confirmed by Northern blot hybridization and quantitative reverse-transcription polymerase chain reaction.
EGLN2 is one of the novel direct targets of miR-205,Melanoma is the most aggressive type of skin cancer with a rapid progression and a limited efficiency of therapeutics.
PTEN was a direct target of miR-26a.,Our results thus identify a novel miRNA-mediated mechanism that suppresses carcinogenic inflammation in the colon.
Only overexpression of miR-497 led to suppression of the IGF1-R 3'UTR activity and downregulation of the endogenous IGF1-R protein in CRC cells.,"Then, we selected miR-129-1-3p for further analysis and transfected its mimic and inhibitor into gastric cancer BGC-823 cells, respectively."
MicroRNA-34a affects the occurrence of laryngeal squamous cell carcinoma by targeting the antiapoptotic gene survivin.,Disturbance of homeostasis within the endoplasmic reticulum (ER) lumen leads to the accumulation of unfolded and misfolded proteins.
luciferase activity was significantly decreased at two of the four predicted sites (positions 377-383 and 1140-1146 in the 3'UTR of FSCN1).,"OBJECTIVE: Hippocampal demyelination, a common feature of postmortem multiple sclerosis (MS) brains, reduces neuronal gene expression and is a likely contributor to the memory impairment that is found in >40% of individuals with MS."
hsa-miR-145 either directly or indirectly suppresses EGFR  and NUDT1 transcript levels.,The interaction between miR-383 and PRDX3 was assessed using a dual-luciferase assay.
PTEN is the downstream target of miR-214,"MicroRNAs are small, highly conserved non-coding RNAs that inhibit translation and decrease mRNA stability by binding to regulatory motifs mostly located in the 3'UTR of target mRNAs conserved throughout evolution."
CD40 is a target of miR-503,The results suggest that the expression of miR-142-3p is down-regulated in CD4+ T cells from patients with ASO.
TGFB1 is a direct target of miR-663,MicroRNAs are short regulatory RNAs that negatively modulate protein expression at a post-transcriptional level and are deeply involved in the pathogenesis of several types of cancers.
HOXA10 is a direct target of miRNA-135a in breast cancer cells,"We also identified functional and specific microRNA target sites in the FOXO1 3'-untranslated region for miR-27a, miR-96, and miR-182, microRNAs that have previously been linked to oncogenic transformation."
"miR-16 and miR-424 Regulate VEGFR2, FGFR1,and VEGF Expression by Targeting the VEGFR2,FGFR1, and VEGF 3 'UTRs",Twenty-five of the forty-six embryonically expressed microRNAs show readily discernible defects; pleiotropy is moderate and family members display similar yet distinct phenotypes.
MiR-17 Binds the 3'-UTR of Smurf1 mRNA to Downregulate Smurf1 Expression.,Oncolytic adenovirus is a suitable vector to deliver tumor suppressor genes for treatment of cancers.
"In addition to suppressing NT-3 mRNA, miR21 is also a candidate for inhibiting translation of hundreds of other mRNAs following SE that could also influence epileptogenesis (TargetScan 4.1 and Sanger miRBase).","miR-21 expression was significantly associated with the degree of differentiation of the tumour tissues (P=0.004), as well as local invasion and lymph node metastasis (P<0.01)."
We have discovered a functional role for miR-200c in controlling epithelial end bud proliferation during branching morphogenesis.,"We have recently shown that blockade of NFκB pathway promotes terminal differentiation and senescence of GICs both in vitro and in vivo, indicating that induction of differentiation may be a potential therapeutic strategy for GBM."
"In our working model, miR-200c regulates genes that alter Vldlr function, which affects the expression of downstream FGFR-dependent genes and proliferation.","Besides conserved homologous transcripts, 23 non-conserved genes for nine conserved miRNAs and 56 genes for 29 rice-specific miRNAs were also identified as targets."
"In addition, miR-200c targets Zeb1 and Cdh1 expression, both involved in epithelial differentiation.","Due to the tissue-specific nature of miR-1/206 for skeletal muscles, we investigated the role of miR-1/206 in the development of rhabdomyosarcoma."
"miR-140 targeted the transcription factor Egr2, a master regulator of myelination, and modulated myelination in DRG/SCcocultures.","Furthermore, in vivo experiments using a mouse model of lung fibrosis showed that miR-155 expression level was correlated with the degree of lung fibrosis."
These results indicate that miR-23b binds the seed sequence present in the 3'-UTR of human PKRACB mRNA,MicroRNAs function by down-regulating translation of target mRNAs.
The results suggested that miR-26b might target and depress GATA4 expression.,"The IFN-γ-induced G1-arrest of melanoma cells involves down-regulation of CDK6, which we proved to be a direct target of miR-29 in these cells."
"We further showed that one of the miR-122 targets, ADAM17 (a disintegrin and metalloprotease 17) is involved in metastasis.","Here, we identify miR-144 as a negative regulator of the host antiviral response."
SMAD4 is a direct target of miR-125,"We constructed a mouse ES cell line CGR8, which stably expresses GFP under the tyrosine hydroxylase (TH) promoter, so the TH-positive neurons could be easily sorted using fluorescence-activated cell sorting (FACS)."
Let-7a directly regulates CCR7 expression by binding with the 3'UTR of CCR7.,"Furthermore, cells were co-transfected with miR-320a and PBX3 expressing vector, or cells were transfected with miR-320a and treated with a nuclear factor kappa B (NF-κB) antagonist MG132."
miR-1285 directly regulates TGM2 in RCC cells.,These findings suggest that miR-193b-5p may contribute to trophoblast dysfunction observed in pregnancy complications such as PE and IUGR.
we found that the p85 regulatory subunit of PI3K harbors a binding site for miR-29b at positions 331 to 337 of its 3'UTR.,CONCLUSION: Down-regulation of miR-30b might be involved in the pathogenesis of SSc.
GALNT7 Is Directly Targeted by miR-214,QPCR analysis of the expression of RASSF1(A) and mature miR-129-2 in additional BC sample set (24 samples) revealed a negative correlation between them (rs = − 0.41) that strengthened the results obtained during the analysis of miR-129-2 precursor level.
miR-33b negatively regulates c-Myc expression through direct targeting of its 3'UTR in 293T cells.,"LINC00943 knockdown reduced GC cell proliferation, 5-FU resistance and in vivo explant growth."
"Taken together, these results demonstrate that COL4A1 is a target of miR-21 in KGN cells.","In cultured nucleus pulposus cells, miR-10b overexpression stimulated cell proliferation with concomitant translational inhibition of HOXD10 whereas restored expression of HOXD10 reversed the mitogenic effect of miR-10b."
Post-transcriptional down-regulation of both FGF9 and NTM expressions by miR-182 through targeting their 3'-UTR,The CSF-derived exosomal miR-21 levels correlated with tumor spinal/ventricle metastasis and the recurrence with anatomical site preference.
Numbl is a direct target of miR-34a,We discovered that IL-32 is elevated by hepatitis B virus (HBV) infection both in vitro and in vivo and that HBV induced IL-32 expression at the level of both transcription and post-transcription.
